Altcoin,Label,Price,Mkt_Cap_BTC,Mkt_Cap_USD,Trdg_Vol_Day,Trdg_Vol_Week,Trdg_Vol_Month,Inflation_in_BTC_Day,Inflation_in_USD_Day,Inflation_in_BTC_Week,Inflation_in_USD_Week,Inflation_in_BTC_Month,Inflation_in_USD_Month,,,,,,,,
,,,,,Day,Week,Month,Day,"Day, $",Week,"Week, $",Month,"Month, $",3-Month,"3-Month, $",6-Month,"6-Month, $",Year,"Year, $","1-Month
inflation,%",Launch
Diamond,DMD,0.0019521,8550,117666884,130855,3791692,20759889,+4.95%,+5.8%,-6.71%,-15.17%,+87.69%,+33.5%,-2.40%,+138.7%,+133.45%,+1284.43%,+644.31%,+11379.44%,1.67,2014
Einsteinium,EMC2,5.568E-05,16692,229719579,9243857,68345200,1056347602,+6.99%,+7.86%,-27.77%,-34.32%,-54.51%,-67.64%,+224.1%,+692.62%,+196.33%,+1657.31%,+3994.12%,+63043.33%,0.07,2014
Florincoin,FLO,1.9E-05,3040,41836146,298970,4794431,28884356,-4.04%,-3.26%,+16.92%,+6.32%,+159.92%,+84.87%,-11.63%,+116.12%,-45.09%,+225.65%,+352.38%,+6877.04%,0.44,2013
Feathercoin,FTC,3.457E-05,11616,159851509,2147490,21038850,55759689,+0.99%,+1.81%,-16.64%,-24.20%,+80.33%,+28.27%,+207.84%,+652.85%,+2.1%,+505.46%,+346.06%,+6779.63%,1.71,2013
Myriad,XMY,2.41E-06,4820,66332310,77104,1215979,3834189,-5.49%,-4.73%,-13.93%,-21.74%,+487.8%,+318.09%,+569.44%,+1537.2%,+201.25%,+1686.5%,+1168.42%,+19462.78%,0.47,2014
Nautiluscoin,NAUT,0,0,0,0,0,0,+0%,+0%,+0%,+0%,+0%,+0%,-100%,-100%,-100%,-100%,-100%,-100%,0,2014
Navajocoin,NAV,0.00032255,25804,355111810,3312813,31036011,322514652,+14.2%,+15.12%,+24.44%,+13.15%,+155.81%,+81.95%,+216.44%,+673.89%,+266.12%,+2071.18%,+616.14%,+10945%,0.2,2014
Namecoin,NMC,0.00048496,10184,140153290,186335,3375024,9115494,-7.34%,-6.59%,+32.53%,+20.51%,+101.35%,+43.22%,+139.29%,+485.2%,-47.86%,+209.22%,+93.43%,+2883.33%,0,2011
Noblecoin,NOBL,2.9E-07,1060,14592715,161183,7303320,10312895,-21.62%,-20.99%,-69.79%,-72.53%,+866.67%,+587.57%,+480%,+1318.45%,+262.5%,+2049.73%,+262.5%,+5490.82%,0.16,2014
Potcoin,POT,2.321E-05,9748,134153656,1539684,23460454,244901130,-2.11%,-1.32%,-3.93%,-12.65%,+30.83%,-6.94%,+92.29%,+370.28%,-34.79%,+286.74%,+25.94%,+1842.3%,0.08,2014
Peercoin,PPC,0.00058198,14550,200228619,525833,5472773,18617423,-9.45%,-8.72%,+32.21%,+20.22%,+98.45%,+41.15%,+153.05%,+518.85%,-29%,+321.05%,+115.39%,+3221.93%,0.26,2012
Rubycoin,RBY,0.00013142,3943,54257628,566594,1990009,12443531,+11.26%,+12.16%,+30.17%,+18.36%,+131.29%,+64.51%,-8.34%,+124.16%,-14.64%,+406.21%,-40.06%,+824.5%,0.41,2015
Ubiq,UBQ,0.000369,18211,250616237,1651476,30974137,152116403,-1.74%,-0.95%,-16.04%,-23.66%,+205.92%,+117.59%,-13.59%,+111.34%,-56.59%,+157.45%,+392%,+7488.09%,1.15,2017
Edgeless,EDG,0.000208,27466,377980979,6575926,60185765,450665080,+22.35%,+23.34%,+19.27%,+8.45%,+173.86%,+94.79%,-38.68%,+49.97%,+109.95%,+1145.08%,+101.82%,+3012.72%,0,2017
Lunyr,LUN,0.00302143,8168,112407130,863603,28792939,61182054,-15.66%,-14.98%,+74.3%,+58.49%,+703.55%,+471.55%,+0.4%,+145.54%,+88.84%,+1019.9%,+178.7%,+4198.36%,0,2017
Golos,GOLOS,3.286E-05,4092,56309398,235120,2289119,12688639,+12.27%,+13.17%,+39.36%,+26.71%,+163.94%,+87.73%,+27.07%,+210.76%,-35.62%,+281.8%,-8.21%,+1315.64%,0,2017
